element,domain,node0,node1,node2,area_m2,quality,heat_flux_W_m2,electric_field_V_m,joule_W_m3
1828,"plate",1015,1053,1014,0.0000027063293750000044,0.9999999999999998,19792.738345914244,10.609505142965077,1234360.3709008042
1829,"plate",1052,1013,1014,0.0000027063293750000044,1,22518.460726202,10.393151072884798,1191676.9509025258
1830,"plate",1013,975,1014,0.0000027063293750000044,0.9999999999999998,22501.95719230629,10.407289692753666,1195159.6685621827
1831,"plate",525,564,563,0.000002706329375,1,30822.16787333017,7.477985115171442,653284.6563303319
1832,"plate",564,600,563,0.0000027063293750000044,0.9999999999999998,30796.779751570808,7.484105266646401,654685.1643594464
1833,"plate",524,525,563,0.000002706329375,1,31131.40109329838,7.8610157408316015,718359.1831808641
1834,"plate",600,599,563,0.0000027063293750000044,1,29040.843603824887,7.220496847670246,606807.6392873917
1835,"plate",562,524,563,0.000002706329375,1,29593.559376611585,7.651929027578462,677778.9976015455
1836,"plate",599,562,563,0.0000027063293750000044,1,29591.22646686798,7.670262780173578,681521.2847150968
1837,"padL",928,146,966,0.0000021118701562499817,0.8899495880180707,36142.25823924978,1.1599147641783423,107632.18081271194
1838,"padL",965,928,966,0.0000027063293749999917,1,36523.154584531905,1.167697085828182,109081.31874013031
1839,"padL",146,147,966,0.0000015625000000000028,0.8658451507449976,36528.71053772945,1.1740591177222273,110273.18495253558
1840,"padL",147,1005,966,0.000002156959218750019,0.9062863255276615,37077.21769260433,1.190976803131418,113474.0596477706
1841,"padL",1005,965,966,0.0000027063293750000006,1,36508.293204585745,1.1670362045497145,108957.88021838423
1842,"plate",1102,1064,1103,0.0000027063293749999955,0.9999999999999998,13305.840127864545,10.464661756134259,1189632.7965912048
1843,"plate",1141,1102,1103,0.0000027063293750000044,1,13303.455100003384,10.464584553696001,1189622.0548757694
1844,"plate",1065,1104,1103,0.0000027063293749999955,1,16276.846175052598,10.427472061152724,1186170.1645636314
1845,"plate",1104,1142,1103,0.0000027063293750000044,0.9999999999999998,16281.368204448943,10.427275271977065,1186107.8599756793
1846,"plate",1064,1065,1103,0.0000027063293749999955,1,14938.99502523167,10.547365699907454,1210926.8759686127
1847,"plate",1142,1141,1103,0.0000027063293750000044,1,14720.673821340828,10.400029084768216,1177321.5763455369
1848,"plate",214,213,624,7.599619311345273e-7,0.5434270312060262,9771.209070434994,12.824175982483743,1776531.7464189231
1849,"plate",590,591,624,0.0000027063293750000044,1,9421.178533229786,11.87746430661294,1524305.0836934247
1850,"plate",591,214,624,0.0000015648084474625036,0.8657394307843587,9699.099789294954,12.371681246702055,1654933.4661293703
1851,"plate",213,623,624,0.0000011285902741513393,0.5755042187662216,6854.049650390006,10.95337048665332,1294605.0953544509
1852,"plate",623,590,624,0.0000027063293750000044,0.9999999999999998,5130.339624449738,9.031180262560332,880239.7426866258
1853,"plate",244,282,243,0.0000027063293750000023,1.0000000000000002,5844.268098313938,10.399338073380948,1166971.1399889665
1854,"plate",22,244,243,0.0000013531646875000012,0.7999999979024509,5888.223976350331,10.399274195785411,1166958.8014866603
1855,"plate",282,281,243,0.0000027063293750000023,1.0000000000000002,4369.858795660184,10.378046015373283,1161365.4387301093
1856,"plate",21,22,243,0.0000013531646874999935,0.7999999979024532,4444.850934286076,10.390887973374571,1164243.9838830961
1857,"plate",281,242,243,0.0000027063293750000023,1.0000000000000002,2934.5206823258145,10.381222110967776,1161485.6746878233
1858,"plate",242,21,243,0.0000013531646875000012,0.7999999979024508,3022.2940451058453,10.38119794177841,1161480.8561983272
1859,"plate",939,900,901,0.0000027063293750000044,1,16514.936655635975,11.82315932113667,1521280.374911308
1860,"plate",900,862,901,0.0000027063293749999955,0.9999999999999998,16639.66184335197,11.86534560070836,1531895.1701863592
1861,"plate",862,863,901,0.0000027063293749999955,1,14638.914406747792,12.173737868970864,1608818.5801410943
1862,"plate",940,939,901,0.0000027063293750000044,1,14028.626779488994,11.152464657116786,1350751.9010925787
1863,"plate",863,902,901,0.0000027063293749999955,1,12309.589352275616,11.31078340413684,1386389.4535400677
1864,"plate",902,940,901,0.0000027063293750000044,0.9999999999999998,12082.241524143077,11.19942313079352,1359539.8345958577
1865,"padL",116,707,115,0.0000015625000000000013,0.8631845582286801,32766.80317046994,1.025134326779721,84072.03103536896
1866,"padL",731,114,115,0.0000031249999999999942,0.9864353638732122,32895.92118192668,1.0305212938563386,84957.93096730737
1867,"padL",707,731,115,0.000002044776718749999,0.8634288828885345,32854.29539969619,1.0287866678478563,84672.16063531964
1868,"plate",359,358,320,0.0000027063293750000023,1.0000000000000002,4293.2710175365555,10.301790635265034,1144342.7322407167
1869,"plate",281,282,320,0.0000027063293750000023,1.0000000000000002,4373.717184582288,10.378242616332507,1161405.7417302425
1870,"plate",282,321,320,0.0000027063293750000023,1.0000000000000002,5802.375823235708,10.377349835310481,1162029.9899927706
1871,"plate",321,359,320,0.0000027063293750000023,1.0000000000000002,5811.7302295089385,10.37819993979579,1162208.828553368
1872,"plate",358,319,320,0.0000027063293750000023,1.0000000000000002,2907.9887261188005,10.331451881360444,1150367.7237099872
1873,"plate",319,281,320,0.0000027063293750000023,1.0000000000000002,2902.458684687373,10.331154320961279,1150305.00488128
