node,x_m,y_m,temperature_K,potential_V
327,0.07125000000000004,0.0054126587499999995,333.5957416407295,0.18001323200324318
328,0.07375000000000004,0.0054126587499999995,329.6341969081941,0.155511787006262
329,0.07625000000000004,0.0054126587499999995,325.3552663104672,0.13172241829947123
330,0.07875000000000004,0.0054126587499999995,320.78786491280283,0.10864771382405121
331,0.08125000000000004,0.0054126587499999995,315.95019209393087,0.0862443932309402
332,0.08375000000000005,0.0054126587499999995,310.8498513920093,0.06444039144229806
333,0.08625000000000005,0.0054126587499999995,305.48477072677144,0.04315005942608087
334,0.08875000000000005,0.0054126587499999995,299.83982232037255,0.02229185114898902
335,0.09125000000000005,0.0054126587499999995,296.4500477555319,0.010453971879189963
336,0.09375000000000006,0.0054126587499999995,295.50706253577255,0.007438314293847842
337,0.09625000000000006,0.0054126587499999995,294.5659608789799,0.0044517196439774614
338,0.09875000000000006,0.0054126587499999995,293.62305887006727,0.0014824371490541938
339,0.0025,0.007577722249999999,294.0867537170148,0.7970605156455085
340,0.005,0.007577722249999999,295.02000244544524,0.7941103510813816
341,0.0075,0.007577722249999999,295.95294575320133,0.7911388571048865
342,0.012499999999999999,0.007577722249999999,302.6114326735996,0.7676545098669924
343,0.015,0.007577722249999999,308.0647224596623,0.7467974210872812
344,0.017499999999999998,0.007577722249999999,313.2591265044406,0.7254634812748915
345,0.02,0.007577722249999999,318.20367522372993,0.7035467112554045
346,0.0225,0.007577722249999999,322.89896347402123,0.6809432489652755
347,0.024999999999999998,0.007577722249999999,327.33470977003975,0.6575655723744698
348,0.027499999999999997,0.007577722249999999,331.4873185687878,0.6333657884144034
349,0.03,0.007577722249999999,335.31921026946503,0.6083637635856693
350,0.0325,0.007577722249999999,338.78215360092975,0.5826687122949169
351,0.035,0.007577722249999999,341.8255761285679,0.5564780809107142
352,0.037500000000000006,0.007577722249999999,344.40772337783307,0.5300433281961525
353,0.04000000000000001,0.007577722249999999,346.50464383530925,0.5036101721804433
354,0.04250000000000001,0.007577722249999999,348.1124212459665,0.4773584539522947
355,0.04500000000000001,0.007577722249999999,349.24205755380615,0.4513672562944034
356,0.047500000000000014,0.007577722249999999,349.9104033832657,0.42561413816598725
357,0.05000000000000002,0.007577722249999999,350.13141767783634,0.39999999999937247
358,0.05250000000000002,0.007577722249999999,349.91040338344277,0.374385861832772
359,0.05500000000000002,0.007577722249999999,349.24205755411793,0.34863274370439784
360,0.05750000000000002,0.007577722249999999,348.1124212463517,0.32264154604657336
361,0.060000000000000026,0.007577722249999999,346.504643835697,0.2963898278185076
362,0.06250000000000003,0.007577722249999999,344.40772337814775,0.269956671802891
363,0.06500000000000003,0.007577722249999999,341.82557612874473,0.24352191908842263
364,0.06750000000000003,0.007577722249999999,338.7821536009367,0.21733128770430832
365,0.07000000000000003,0.007577722249999999,335.31921026930644,0.19163623641363933
366,0.07250000000000004,0.007577722249999999,331.48731856848616,0.16663421158499825
367,0.07500000000000004,0.007577722249999999,327.3347097696376,0.1424344276250329
368,0.07750000000000004,0.007577722249999999,322.8989634735767,0.11905675103432595
369,0.08000000000000004,0.007577722249999999,318.20367522330827,0.0964532887443013
370,0.08250000000000005,0.007577722249999999,313.25912650408964,0.07453651872488513
371,0.08500000000000005,0.007577722249999999,308.0647224594409,0.053202578912560944
372,0.08750000000000005,0.007577722249999999,302.6114326734637,0.032345490132887046
373,0.09250000000000005,0.007577722249999999,295.95294575318474,0.008861142895038383
374,0.09500000000000006,0.007577722249999999,295.02000244548566,0.005889648918561612
375,0.09750000000000006,0.007577722249999999,294.086753717021,0.002939484354459499
376,0.00125,0.00974278575,293.6135826273902,0.7985482438314802
377,0.00375,0.00974278575,294.5376894735681,0.7956381019517375
378,0.00625,0.00974278575,295.45908953464806,0.7927146649876011
379,0.008749999999999999,0.00974278575,296.38107734497,0.7897649764775752
380,0.01125,0.00974278575,299.7015857632311,0.7782306846748094
381,0.013749999999999998,0.00974278575,305.21797089244455,0.7578600638626372
382,0.016249999999999997,0.00974278575,310.4791798822633,0.7370698325668286
383,0.01875,0.00974278575,315.5009834364846,0.7157352646507109
384,0.021249999999999998,0.00974278575,320.2930156236047,0.6937232026159009
385,0.023749999999999997,0.00974278575,324.8562134411573,0.6708959117258257
386,0.026249999999999996,0.00974278575,329.1779298200872,0.6471345601716314
387,0.028749999999999998,0.00974278575,333.2268130106064,0.6223808133548786
388,0.03125,0.00974278575,336.95106356214393,0.5966877196934741
389,0.03375,0.00974278575,340.28464232338666,0.5702539390387428
390,0.036250000000000004,0.00974278575,343.1626891956039,0.5434070311215435
391,0.03875000000000001,0.00974278575,345.5400276389718,0.5165229258458566
392,0.04125000000000001,0.00974278575,347.4019305926973,0.4899148215941188
393,0.04375000000000001,0.00974278575,348.76103697528873,0.46375088325941394
394,0.04625000000000001,0.00974278575,349.64422595842325,0.438035070626687
395,0.048750000000000016,0.00974278575,350.077977849519,0.41263994253702546
396,0.05125000000000002,0.00974278575,350.077977849477,0.3873600574616932
397,0.05375000000000002,0.00974278575,349.64422595830445,0.3619649293720657
398,0.05625000000000002,0.00974278575,348.76103697511434,0.3362491167394025
399,0.058750000000000024,0.00974278575,347.4019305924919,0.31008517840478583
400,0.06125000000000003,0.00974278575,345.54002763876264,0.2834770741531505
401,0.06375000000000003,0.00974278575,343.162689195419,0.25659296887757194
402,0.06625000000000003,0.00974278575,340.2846423232485,0.22974606096047417
403,0.06875000000000003,0.00974278575,336.9510635620605,0.20331228030583176
404,0.07125000000000004,0.00974278575,333.2268130105741,0.1776191866445084
405,0.07375000000000004,0.00974278575,329.17792982009854,0.15286543982784312
406,0.07625000000000004,0.00974278575,324.8562134411996,0.12910408827373326
407,0.07875000000000004,0.00974278575,320.2930156236581,0.10627679738374138
408,0.08125000000000004,0.00974278575,315.5009834365352,0.0842647353490157
409,0.08375000000000005,0.00974278575,310.4791798822947,0.06293016743296304
410,0.08625000000000005,0.00974278575,305.21797089245786,0.04213993613720291
411,0.08875000000000005,0.00974278575,299.70158576323945,0.021769315325079107
412,0.09125000000000005,0.00974278575,296.3810773449772,0.010235023522339296
413,0.09375000000000006,0.00974278575,295.4590895346327,0.007285335012330593
414,0.09625000000000006,0.00974278575,294.5376894735537,0.004361898048218669
415,0.09875000000000006,0.00974278575,293.6135826273891,0.0014517561685050662
416,0.0025,0.01190784925,294.0637715522703,0.7971334807474766
417,0.005,0.01190784925,294.97273464695286,0.7942613554204154
418,0.0075,0.01190784925,295.8797401635023,0.7913743479310722
419,0.012499999999999999,0.01190784925,302.3437535644396,0.7686294932748157
420,0.015,0.01190784925,307.64207013099707,0.7484536849461262
421,0.017499999999999998,0.01190784925,312.70723425886126,0.7277946781851012
422,0.02,0.01190784925,317.556202841539,0.7065072836444544
